,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
100,Brisbane Elementary (San Mateo),41-68874-0000000,27.6,36.4,22.5,13.6,64,,69.4,redacted,47.8,54.9,redacted,78.6,68.9,64.1,63.8
101,Brittan Elementary (Sutter),51-71357-0000000,16.4,25.3,31.5,26.9,41.6,redacted,,,,34.8,,47.1,42.9,34.3,50.4
102,Browns Elementary (Sutter),51-71365-0000000,7.5,29,29.9,33.6,36.5,,redacted,redacted,,30.2,redacted,redacted,40.4,28,43.9
103,Buckeye Union Elementary (El Dorado),09-61838-0000000,33.5,36.5,19.1,10.9,70,redacted,80.8,52.4,88.2,58.6,91.7,69.3,70.9,64.2,75.9
104,Buellton Union Elementary (Santa Barbara),42-69138-0000000,31.6,40.5,15.8,12.1,72.1,redacted,redacted,redacted,,62.4,,81.3,81.5,66.3,78
105,Buena Park Elementary (Orange),30-66456-0000000,15.5,25.4,25.5,33.6,40.9,redacted,72.6,29.5,72.9,30.6,50,41.3,56,35,46.7
106,Buena Vista Elementary (Tulare),54-71829-0000000,15.8,29.5,25.2,29.5,45.3,,,redacted,,44.2,,redacted,50,38.8,51.4
107,Burbank Unified (Los Angeles),19-64337-0000000,26.9,35.1,22.3,15.8,62,61.5,80.9,53.9,81.8,50.2,46.2,74.3,66.9,55.2,68.8
108,Burlingame Elementary (San Mateo),41-68882-0000000,48,29.4,12.8,9.8,77.3,redacted,90.7,47.1,69.7,51.3,redacted,86.5,80,72.4,82.7
109,Burnt Ranch Elementary (Trinity),53-71662-0000000,19.4,27.4,32.3,21,46.8,39.1,redacted,redacted,,50,,,43.5,38.7,54.8
110,Burrel Union Elementary (Fresno),10-62042-0000000,1.4,25,36.1,37.5,26.4,,redacted,,,25.8,,,redacted,18.2,39.3
111,Burton Elementary (Tulare),54-71837-0000000,8.6,23.8,27.7,39.9,32.4,16.7,48.1,39.1,39.7,27.8,redacted,52.4,43.7,27.9,36.9
112,Butte County Office of Education (Butte),04-10041-0000000,5.3,19.7,30.3,44.7,25,7.7,redacted,redacted,redacted,21.6,,23.1,29.4,22.8,27.1
113,Butte Valley Unified (Siskiyou),47-73684-0000000,9.7,25.2,27.7,37.4,34.8,redacted,redacted,,,30.8,,redacted,37.3,28.7,42.7
114,Butteville Union Elementary (Siskiyou),47-70201-0000000,12.8,39,29.8,18.4,51.8,redacted,,redacted,,36.4,,52.9,54.6,44.3,61.3
115,Buttonwillow Union Elementary (Kern),15-63370-0000000,6.2,15.8,32,46.1,22,redacted,redacted,redacted,,20.1,,redacted,42.1,17.9,26.3
116,Byron Union Elementary (Contra Costa),07-61663-0000000,17.7,33,24.3,25.1,50.7,50,67.9,29.3,redacted,39.7,73.9,52,53.9,39.7,61.6
117,Cabrillo Unified (San Mateo),41-68890-0000000,17.7,28.3,23.2,30.8,46,redacted,75.9,redacted,47.4,25.9,redacted,75,67.9,39.9,52.2
118,Cajon Valley Union (San Diego),37-67991-0000000,14.9,26.7,23.6,34.7,41.7,51.9,54.3,26.7,60.6,34.3,55,49.2,47.4,37.2,46.5
119,Calaveras County Office of Education (Calaveras),05-10058-0000000,11.7,26.2,34.8,27.3,37.9,redacted,redacted,redacted,,30.2,redacted,36.4,40.3,32.4,45.4
120,Calaveras Unified (Calaveras),05-61564-0000000,10.1,26.7,28.8,34.4,36.8,27.6,35.3,36.4,redacted,27,redacted,30.2,39.8,30.4,43.5
121,Calexico Unified (Imperial),13-63099-0000000,7.6,20.2,25.1,47.1,27.8,redacted,70.6,redacted,,27.5,,,63.2,22.9,32.7
122,Caliente Union Elementary (Kern),15-63388-0000000,17.1,22.9,20,40,40,,,,,redacted,,redacted,46.4,56.3,26.3
123,Calipatria Unified (Imperial),13-63107-0000000,15.2,28.5,27.5,28.8,43.7,,redacted,31.3,redacted,43.9,,redacted,46.8,39.6,48.9
124,Calistoga Joint Unified (Napa),28-66241-0000000,12.3,27.8,28.7,31.3,40.1,redacted,redacted,,redacted,35.4,,,68.4,34.4,45.6
