,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
154,Chawanakee Unified (Madera),20-75606-0000000,13.1,31.9,24.4,30.7,45,26.3,redacted,redacted,,31.8,,33.3,54.1,37.9,51.9
155,Chicago Park Elementary (Nevada),29-66316-0000000,12.5,41.7,26.7,19.2,54.2,redacted,redacted,,redacted,62.5,,redacted,55,56.9,50
156,Chico Unified (Butte),04-61424-0000000,18.8,32.3,24.1,24.8,51.1,35.7,46.5,40.7,79.2,35.4,64.7,45.2,59.3,46,56.4
157,Chino Valley Unified (San Bernardino),36-67678-0000000,24.8,32,22.6,20.6,56.8,45.5,82.2,49.7,80.9,46.2,42.9,73.8,64.3,51.2,62.7
158,Chowchilla Elementary (Madera),20-65193-0000000,8.7,22.4,27.7,41.2,31.1,redacted,47.8,19.4,redacted,27,redacted,19.4,40.9,26.3,36.3
159,Chowchilla Union High (Madera),20-65201-0000000,25,33.9,25.9,15.3,58.9,redacted,redacted,redacted,,56.8,,redacted,65.2,50,68.8
160,Chualar Union (Monterey),27-65995-0000000,11.3,26.7,28.5,33.5,38,,,,,37.4,,,redacted,29.6,49
161,Chula Vista Elementary (San Diego),37-68023-0000000,32.1,30.5,18.9,18.5,62.6,50,82.6,60.9,84.1,55.9,65.3,76.9,72.8,57.6,67.7
162,Cienega Union Elementary (San Benito),35-67462-0000000,8.3,37.5,29.2,25,45.8,,,,,36.4,,,58.3,66.7,25
163,Cinnabar Elementary (Sonoma),49-70649-0000000,7.7,32.7,32.1,27.4,40.5,,redacted,redacted,,35,redacted,redacted,48.3,34.1,47.5
164,Claremont Unified (Los Angeles),19-64394-0000000,29.9,35,20.8,14.3,64.9,redacted,77.4,44.7,81,55.7,75,73.5,73.1,60.9,69.1
165,Clay Joint Elementary (Fresno),10-62109-0000000,45,39.1,10.7,5.3,84,,redacted,,,68.8,,redacted,89.9,78.1,89.7
166,Clear Creek Elementary (Nevada),29-66324-0000000,39.2,38.2,14.7,7.8,77.5,redacted,,,,redacted,,redacted,75.9,63.6,93.6
167,Cloverdale Unified (Sonoma),49-70656-0000000,11.6,22,27.4,39,33.6,27.3,redacted,redacted,,25.2,,40,46.6,26.8,41.5
168,Clovis Unified (Fresno),10-62117-0000000,34.4,35.3,18.3,12,69.7,60.3,74.7,54.2,88.9,60.6,67.9,74.1,76.4,65.5,74.1
169,Coachella Valley Unified (Riverside),33-73676-0000000,5.7,19.2,25.7,49.4,24.9,17.3,redacted,20,redacted,24.8,,41.7,34.9,20.9,29.2
170,Coalinga-Huron Unified (Fresno),10-62125-0000000,6.9,19.1,24,50,26,redacted,36.6,20,redacted,23.4,redacted,36.4,44.1,20.7,31.4
171,Coast Unified (San Luis Obispo),40-75465-0000000,19,34.4,26.1,20.5,53.4,redacted,redacted,redacted,redacted,41.3,redacted,redacted,78.9,46.5,60.6
172,Coffee Creek Elementary (Trinity),53-71670-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
173,Cold Spring Elementary (Santa Barbara),42-69161-0000000,52.2,32.6,12,3.3,84.8,,redacted,redacted,,redacted,,redacted,84.6,80.5,88.2
174,Colfax Elementary (Placer),31-66795-0000000,11.8,28.1,24.6,35.5,39.9,redacted,redacted,redacted,,45.5,,43.8,38.9,36.5,43.4
175,College Elementary (Santa Barbara),42-69179-0000000,17.5,33.6,35.7,13.3,51.1,redacted,redacted,,redacted,46.2,redacted,redacted,61.1,40.8,62.7
176,Colton Joint Unified (San Bernardino),36-67686-0000000,10.8,25.7,26.4,37.1,36.5,42.1,62.2,27.9,71.7,35.5,29.6,50.9,44.7,31.2,42.3
177,Columbia Elementary (Shasta),45-69948-0000000,15.6,35.2,25.2,24,50.8,31.3,redacted,redacted,,48.4,,44.4,53.3,48.3,53.7
178,Columbia Union (Tuolumne),55-72348-0000000,10.8,30.2,27.9,31.1,41,redacted,redacted,redacted,redacted,32.1,redacted,,41.8,35.8,48.3
179,Columbine Elementary (Tulare),54-71852-0000000,20.5,40.9,22,16.7,61.4,,redacted,redacted,redacted,58.4,,redacted,redacted,45,75
180,Colusa County Office of Education (Colusa),06-10066-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,,redacted,redacted,,,redacted,redacted,redacted
181,Colusa Unified (Colusa),06-61598-0000000,9.5,30.8,26.4,33.3,40.3,27.6,redacted,redacted,,34.6,redacted,41.7,57.1,33.3,47.9
182,Compton Unified (Los Angeles),19-73437-0000000,10.4,21,24.4,44.2,31.5,53.3,redacted,23.8,redacted,33.1,33.8,30.8,24.1,27,36.1
183,Conejo Valley Unified (Ventura),56-73759-0000000,32.6,34.4,18.4,14.7,66.9,64.3,87.7,57.7,72.6,41.3,58.3,78.2,74.5,62.2,72.1
184,Contra Costa County Office of Education (Contra Costa),07-10074-0000000,0,4.3,14.9,80.9,4.3,,redacted,2.1,redacted,4.6,,redacted,9.4,5.2,0
185,Corcoran Joint Unified (Kings),16-63891-0000000,8.2,22.5,27,42.3,30.7,redacted,redacted,19.6,redacted,30.6,,,39.6,25.1,36.3
186,Corning Union Elementary (Tehama),52-71498-0000000,6.1,24.3,28.2,41.5,30.4,27.3,61.1,46.2,redacted,26.4,redacted,redacted,37,25.6,35.1
187,Corning Union High (Tehama),52-71506-0000000,10.1,30,26.4,33.5,40.1,redacted,redacted,redacted,redacted,33.1,,,48.8,28.7,50.4
188,Corona-Norco Unified (Riverside),33-67033-0000000,26,33.8,21.9,18.3,59.7,62,79.5,55.3,79.4,50.7,62.1,72.7,68.9,53.9,65.7
189,Coronado Unified (San Diego),37-68031-0000000,39.7,36,14.4,9.8,75.8,redacted,80.4,66.7,85,69.7,81.8,77.7,77.5,69.6,82.3
190,Cotati-Rohnert Park Unified (Sonoma),49-73882-0000000,15,30,26.3,28.7,45,20,50,42.9,69.2,36.5,58.3,51.8,52.4,40.5,49.6
191,Cottonwood Union Elementary (Shasta),45-69955-0000000,14.2,33.8,27.5,24.5,48,50,33.3,redacted,redacted,39.4,redacted,41.9,50.7,39.3,55.6
192,Covina-Valley Unified (Los Angeles),19-64436-0000000,19.8,32.7,24.6,22.9,52.5,40.9,78.6,48.5,66.7,49.7,69.2,63.6,57.7,48,57.3
193,Cucamonga Elementary (San Bernardino),36-67694-0000000,11.2,27.9,25.4,35.5,39.1,redacted,57.9,32.4,70,37,redacted,40,52.7,34.3,44.4
194,Cuddeback Union Elementary (Humboldt),12-62737-0000000,9.1,33.8,29.9,27.3,42.9,redacted,,,,redacted,,redacted,40,36.8,48.7
195,Culver City Unified (Los Angeles),19-64444-0000000,35,32.7,18.6,13.7,67.7,53.9,81.8,60.4,77.1,55.3,57.1,78.8,81.3,62.1,73.4
196,Cupertino Union (Santa Clara),43-69419-0000000,54.8,29.5,9.7,6.1,84.3,87.5,88.7,56.1,64.7,44,66.7,81.3,79.1,81.6,87.1
197,Curtis Creek Elementary (Tuolumne),55-72355-0000000,19.2,29.4,23.8,27.7,48.6,redacted,redacted,redacted,redacted,33.3,,redacted,51.2,44.4,54.1
198,Cutler-Orosi Joint Unified (Tulare),54-71860-0000000,9.6,22.9,26.4,41.1,32.5,redacted,redacted,redacted,60.6,31.4,redacted,redacted,45.2,27,38.1
199,Cutten Elementary (Humboldt),12-62745-0000000,20.5,29.8,24.4,25.3,50.3,26.5,57.1,redacted,redacted,47.6,redacted,38.9,54.9,47,53.6
200,Cuyama Joint Unified (Santa Barbara),42-75010-0000000,5,27.3,31.4,36.4,32.2,,redacted,,,30.5,,redacted,34.8,24.6,40
201,Cypress Elementary (Orange),30-66480-0000000,37.3,29.1,17.4,16.2,66.4,,84,43.7,73.8,49.5,69.2,70.5,61.1,62,71
202,Davis Joint Unified (Yolo),57-72678-0000000,37.5,32,15.6,14.9,69.4,36.8,84.4,44.2,80,42.2,82.4,79.4,76.3,63.7,75.6
203,Death Valley Unified (Inyo),14-63271-0000000,16.7,16.7,25,41.7,33.3,,,redacted,,redacted,,redacted,redacted,redacted,redacted
204,Dehesa Elementary (San Diego),37-68049-0000000,12.4,22.9,30.5,34.3,35.2,redacted,,redacted,redacted,13.8,,66.7,39.2,30.9,40
205,Del Mar Union Elementary (San Diego),37-68056-0000000,61.5,24.8,8.7,5,86.3,redacted,92.4,52,100,70.3,redacted,88.4,86.1,82.7,89.9
206,Del Norte County Office of Education (Del Norte),08-10082-0000000,4.5,24.9,29.9,40.7,29.4,15.4,redacted,redacted,,11.1,,26.7,35.8,30.2,28.6
207,Del Norte County Unified (Del Norte),08-61820-0000000,9.8,23.7,26.1,40.4,33.5,24.4,32.4,18.2,47.4,29,redacted,40.3,37.9,28,38.9
208,Delano Joint Union High (Kern),15-63412-0000000,28.4,37.1,21.4,13.1,65.5,,redacted,redacted,75.2,64.1,redacted,redacted,58.3,64.3,66.7
209,Delano Union Elementary (Kern),15-63404-0000000,11,25.5,24.9,38.7,36.4,redacted,65.5,33.3,61.3,33.4,redacted,53.9,28.8,31.6,41.7
210,Delhi Unified (Merced),24-75366-0000000,10.2,24.6,30.4,34.8,34.8,,47.2,redacted,redacted,34.8,redacted,redacted,31.6,28.6,41.7
211,Delphic Elementary (Siskiyou),47-70227-0000000,2.9,8.8,29.4,58.8,11.8,redacted,,,,redacted,,redacted,20,9.1,16.7
212,Denair Unified (Stanislaus),50-71068-0000000,7.8,25.1,29.5,37.6,33,redacted,redacted,redacted,,27.5,redacted,38.1,37.2,25.6,40.8
213,Desert Center Unified (Riverside),33-67041-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
214,Desert Sands Unified (Riverside),33-67058-0000000,19.2,30.3,24.8,25.8,49.5,57.5,79,43.6,83.6,42.7,78.6,64.5,69.5,44.5,54.5
215,Di Giorgio Elementary (Kern),15-63420-0000000,4.1,21.6,27,47.3,25.7,,,,,27,,,redacted,21,31.3
216,Dinuba Unified (Tulare),54-75531-0000000,10.3,27.2,27.8,34.7,37.5,42.9,56.8,41.7,51.9,36.8,redacted,,44.1,32.9,42.7
217,Dixie Elementary (Marin),21-65318-0000000,39.7,35.9,15.3,9.2,75.5,redacted,83.3,48,92.3,44.8,redacted,74.4,82.4,71.4,80.1
218,Dixon Unified (Solano),48-70532-0000000,12.5,27.2,26.7,33.6,39.7,redacted,68.4,7.7,55.6,31.6,redacted,45.6,53.1,35.1,44.7
219,Dos Palos Oro Loma Joint Unified (Merced),24-75317-0000000,6.4,18.2,25.3,50.1,24.6,27.3,redacted,21.6,redacted,22.5,redacted,redacted,36.8,20.4,29.2
220,Douglas City Elementary (Trinity),53-71696-0000000,25.2,39.7,19.9,15.3,64.9,,redacted,,,78.6,,63.2,62.5,63.9,65.7
221,Downey Unified (Los Angeles),19-64451-0000000,19.9,32.7,23.8,23.6,52.6,35.7,79.4,47,83.8,51.6,38.1,66.1,58.3,45.9,59.5
222,Dry Creek Joint Elementary (Placer),31-66803-0000000,19.1,32.5,25.4,23,51.6,34.5,61.5,35,63.6,41.4,41.7,55.2,54.3,45.9,57.7
223,Duarte Unified (Los Angeles),19-64469-0000000,17.1,29.1,23.1,30.8,46.1,redacted,67.7,30.8,69.7,42.4,redacted,76.3,55.6,40.3,52
224,Dublin Unified (Alameda),01-75093-0000000,44.4,32.1,13.8,9.7,76.5,redacted,87.4,48.7,83,51.8,redacted,74.4,70.6,71.7,81.4
225,Ducor Union Elementary (Tulare),54-71894-0000000,4.9,26.2,28.7,40.2,31.2,,,,,30.3,,,redacted,24.2,38.3
226,Dunham Elementary (Sonoma),49-70672-0000000,23.9,37,22.8,16.3,60.9,,,,,47.4,,redacted,62.1,58.3,63.6
227,Dunsmuir Elementary (Siskiyou),47-70243-0000000,9.2,26.2,27.7,36.9,35.4,redacted,,,,37.5,,redacted,35,35.3,35.5
228,Dunsmuir Joint Union High (Siskiyou),47-70250-0000000,6.3,37.5,43.8,12.5,43.8,redacted,,redacted,,redacted,,redacted,redacted,redacted,45.5
229,Durham Unified (Butte),04-61432-0000000,17.7,36.8,24.4,21.1,54.5,redacted,redacted,redacted,redacted,33.3,,62.5,60.7,51.5,58.2
230,Earlimart Elementary (Tulare),54-71902-0000000,6.3,22.1,25,46.7,28.4,,redacted,redacted,68.4,27.8,,redacted,redacted,21.5,35.5
231,East Nicolaus Joint Union High (Sutter),51-71373-0000000,28.2,34.6,19.2,18,62.8,redacted,redacted,,,58.3,redacted,redacted,64.6,51.3,74.4
232,East Side Union High (Santa Clara),43-69427-0000000,32.8,32.7,19.5,15,65.6,33.3,81.9,51.4,71.2,48.6,52,79.1,75.5,61.6,69.8
233,East Whittier City Elementary (Los Angeles),19-64485-0000000,23.5,34.3,22.6,19.6,57.9,redacted,76.2,56.4,77.1,55.8,81.8,77.3,68.2,51.2,65.1
234,Eastern Sierra Unified (Mono),26-73668-0000000,19.1,32.6,20.5,27.9,51.6,35.3,,redacted,redacted,41.2,redacted,redacted,61.1,50,53.3
235,Eastside Union Elementary (Los Angeles),19-64477-0000000,5.1,18,26.8,50.2,23,redacted,30.8,12.8,53.9,24.7,redacted,28.6,35.7,20.4,25.9
236,Edison Elementary (Kern),15-63438-0000000,8.1,24.4,25.8,41.7,32.5,redacted,redacted,7.1,,33.6,,redacted,30.3,24.2,40.8
237,El Centro Elementary (Imperial),13-63123-0000000,12.1,28.8,26.2,33,40.9,redacted,60,25,,39.9,redacted,58.3,71.4,38.2,43.6
238,El Dorado County Office of Education (El Dorado),09-10090-0000000,17.1,25,24.1,33.8,42.1,redacted,redacted,0,,36.2,redacted,72,43.3,34.5,51.3
239,El Dorado Union High (El Dorado),09-61853-0000000,39.3,36.3,15.6,8.9,75.6,75,83.3,93.3,81,64.7,redacted,78.2,77,68.8,82.7
240,El Monte City (Los Angeles),19-64501-0000000,17.2,28.5,24.9,29.4,45.7,redacted,74.4,63.6,75.7,38.3,redacted,redacted,68.7,40.1,51.6
241,El Monte Union High (Los Angeles),19-64519-0000000,27.5,31.6,23.2,17.7,59.1,,81,redacted,66.7,52.3,,redacted,58.3,55.7,62.7
242,El Nido Elementary (Merced),24-65680-0000000,7.6,25.5,31.1,35.9,33,redacted,,,,31.5,,,40,34,32.1
243,El Rancho Unified (Los Angeles),19-64527-0000000,12.2,28.6,27.5,31.7,40.7,redacted,redacted,31.3,73.7,40.4,redacted,redacted,46.8,34.5,47.6
244,El Segundo Unified (Los Angeles),19-64535-0000000,38.4,36.7,16.6,8.4,75.1,redacted,81,67.6,94.1,67.3,50,78,76.7,71.3,79
245,El Tejon Unified (Kern),15-75168-0000000,17.7,26.9,24.1,31.3,44.6,61.5,redacted,redacted,redacted,37.2,redacted,redacted,45.8,33.8,56.5
246,Elk Grove Unified (Sacramento),34-67314-0000000,23,31.1,22.2,23.8,54,38.7,63.3,32.9,73.4,42.5,41.7,59.2,65.4,49.2,59.2
247,Elk Hills Elementary (Kern),15-63446-0000000,4.9,26.8,23.6,44.7,31.7,redacted,,redacted,,31.3,,redacted,30.7,17.2,44.6
248,Elkins Elementary (Tehama),52-71514-0000000,9.1,18.2,27.3,45.5,27.3,,,,,redacted,,redacted,redacted,redacted,redacted
249,Elverta Joint Elementary (Sacramento),34-67322-0000000,4.3,17.7,26.3,51.6,22,redacted,redacted,5.3,redacted,14.8,redacted,0,31.6,20.3,25
250,Emery Unified (Alameda),01-61168-0000000,7,18.3,28.5,46.2,25.3,redacted,36.8,16.4,redacted,31.7,redacted,redacted,43.6,20.1,29.5
251,Empire Union Elementary (Stanislaus),50-71076-0000000,13.2,24.8,26.4,35.6,38,50,44.3,33.7,66.7,35.5,38.9,46.9,42,32.4,43.8
252,Encinitas Union Elementary (San Diego),37-68080-0000000,43.5,32.4,13.6,10.5,75.9,78.6,90.9,77.8,89.5,53.2,redacted,85.4,81.3,72.5,79.5
253,Enterprise Elementary (Shasta),45-69971-0000000,14.2,30.1,25.4,30.4,44.3,32.4,44.6,30.2,redacted,33.3,redacted,44.8,48.6,39.4,49.7
254,Escalon Unified (San Joaquin),39-68502-0000000,12.4,28.1,29.2,30.3,40.5,redacted,39.1,redacted,redacted,29.7,redacted,44.4,52.5,33.6,47.4
255,Escondido Union (San Diego),37-68098-0000000,11.9,27.3,27.3,33.4,39.3,54.6,67.8,41.5,68.4,32.8,45.5,60.4,62.2,34.3,44.4
256,Escondido Union High (San Diego),37-68106-0000000,24.5,32.5,22.4,20.6,57,redacted,91,53.9,68.3,48.8,redacted,81.8,78.3,50.5,63.8
257,Esparto Unified (Yolo),57-72686-0000000,6,18.6,23.6,51.8,24.6,redacted,redacted,redacted,redacted,20.5,,redacted,36.5,21,28.8
258,Etiwanda Elementary (San Bernardino),36-67702-0000000,32.5,35.6,18.5,13.5,68.1,68.4,83.6,55.1,85.6,61.2,50,73.1,75.8,62.7,73.8
259,Eureka City Schools (Humboldt),12-75515-0000000,10.6,25.2,25,39.3,35.7,15.1,40,25,36.4,26.9,31.4,23.4,43.7,30.7,41.3
260,Eureka Union (Placer),31-66829-0000000,40.4,37.6,15.4,6.6,78,70.6,91.9,57.1,77.5,68.3,redacted,81.5,78.2,73.6,82.2
261,Evergreen Elementary (Santa Clara),43-69435-0000000,32.5,31,17,19.5,63.5,57.1,79.6,40.5,61.9,29.4,37.8,64,65.4,58.2,69
262,Evergreen Union (Tehama),52-71522-0000000,19.2,34.3,25.2,21.3,53.5,43.3,redacted,redacted,redacted,48.3,redacted,54.8,55.3,48.6,59.5
263,Exeter Unified (Tulare),54-76836-0000000,11.3,29.5,28.5,30.7,40.9,42.9,redacted,redacted,redacted,33.6,,redacted,52.1,33.6,48.4
264,Fairfax Elementary (Kern),15-63461-0000000,6,20.7,26.3,47,26.7,redacted,18.8,19,redacted,27.2,,27.3,25.6,23,30.3
265,Fairfield-Suisun Unified (Solano),48-70540-0000000,16.2,27.2,24.2,32.4,43.5,45.8,62.9,30.9,67.2,33.8,35.7,52.2,56.3,37.5,49.7
266,Fall River Joint Unified (Shasta),45-69989-0000000,13.2,30.1,25.3,31.4,43.3,21.6,redacted,redacted,redacted,38.5,redacted,33.3,50,33.7,52.4
267,Fallbrook Union Elementary (San Diego),37-68114-0000000,25.1,31.6,21.2,22,56.8,redacted,88.2,59,85.7,46.7,redacted,69.2,75.3,51.7,62.1
268,Fallbrook Union High (San Diego),37-68122-0000000,16.6,31.4,25.9,26.1,48,redacted,redacted,redacted,redacted,39.3,redacted,redacted,65.3,40.1,56.6
269,Farmersville Unified (Tulare),54-75325-0000000,4.7,16.5,26.8,52,21.1,redacted,redacted,redacted,redacted,20.9,,redacted,26.1,17.1,25.4
270,Feather Falls Union Elementary (Butte),04-61440-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,redacted,,redacted,,redacted,redacted,redacted,redacted
271,Ferndale Unified (Humboldt),12-75374-0000000,12.3,31.5,28.3,27.9,43.8,redacted,redacted,,,29.3,redacted,redacted,48.5,36.1,52.3
272,Fieldbrook Elementary (Humboldt),12-62794-0000000,31.1,41.1,24.4,3.3,72.2,redacted,redacted,redacted,,redacted,,84.6,72.1,68.2,76.1
273,Fillmore Unified (Ventura),56-72454-0000000,7.6,21.1,27,44.4,28.7,redacted,redacted,redacted,redacted,27.4,,53.9,45.9,23.3,34.8
274,Firebaugh-Las Deltas Unified (Fresno),10-73809-0000000,14.1,29.7,27.9,28.3,43.8,,redacted,redacted,,44,,,43.4,37.7,50.3
275,Flournoy Union Elementary (Tehama),52-71530-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
276,Folsom-Cordova Unified (Sacramento),34-67330-0000000,29.8,31.5,19.9,18.8,61.3,42,82.4,32.1,77.1,41.1,38.8,60.3,65.8,56.6,65.9
277,Fontana Unified (San Bernardino),36-67710-0000000,9,24.4,28.9,37.7,33.4,41.2,67,29.7,74.1,32.2,34.8,47.9,41.7,28.3,38.7
278,Foresthill Union Elementary (Placer),31-66837-0000000,14.8,28.3,28.3,28.7,43,redacted,redacted,redacted,redacted,48.7,redacted,redacted,43.4,34.5,50.4
279,Forestville Union Elementary (Sonoma),49-70680-0000000,13.4,27.7,27.7,31.3,41.1,redacted,redacted,,,21.7,redacted,21.1,50.7,35.6,45.8
280,Forks of Salmon Elementary (Siskiyou),47-70292-0000000,redacted,redacted,redacted,redacted,redacted,,,,,,,redacted,redacted,redacted,redacted
281,Fort Bragg Unified (Mendocino),23-65565-0000000,15.2,26.6,29,29.3,41.7,redacted,redacted,redacted,redacted,35.1,,40.8,47.9,34.5,49.2
282,Fort Ross Elementary (Sonoma),49-70698-0000000,15.4,15.4,38.5,30.8,30.8,,,,,redacted,,,redacted,redacted,redacted
283,Fort Sage Unified (Lassen),18-75036-0000000,6.5,26.8,29.7,37,33.3,redacted,,redacted,,34.8,redacted,46.2,31.2,20,43.6
284,Fortuna Elementary (Humboldt),12-76802-0000000,7.7,25,31.4,35.9,32.7,0,redacted,redacted,redacted,21.5,,34.3,43.6,24.2,40.9
285,Fortuna Union High (Humboldt),12-62810-0000000,21.8,37.2,24.8,16.2,59,redacted,redacted,,,38.5,redacted,53.3,67.8,45.6,71.7
286,Fountain Valley Elementary (Orange),30-66498-0000000,38.2,36.7,16,9,74.9,75,84.5,47.2,81.7,63.1,45.5,75,71.4,69.9,79.9
287,Fowler Unified (Fresno),10-62158-0000000,15.1,27,28.9,29,42.1,redacted,58.5,redacted,,37.8,,redacted,61,38.1,46.2
288,Franklin Elementary (Sutter),51-71381-0000000,27.7,35.1,25.3,11.9,62.8,redacted,75,redacted,,48.8,,66.7,66.8,58.1,69
289,Franklin-McKinley Elementary (Santa Clara),43-69450-0000000,17.4,27.5,24.2,31,44.9,redacted,68.5,28.8,58.5,29.7,36.8,58.7,63.5,40.8,49
290,Fremont Unified (Alameda),01-61176-0000000,46.7,28.5,13.4,11.5,75.1,55.3,86.9,41.9,70,43,40.4,70.1,65.4,70.9,79.6
291,Fremont Union High (Santa Clara),43-69468-0000000,61.8,22.6,9.4,6.3,84.4,redacted,93.6,52.4,79.7,43.6,redacted,90.4,85.5,81.5,87.5
292,French Gulch-Whiskeytown Elementary (Shasta),45-69997-0000000,17.7,11.8,35.3,35.3,29.4,,,,,redacted,,redacted,redacted,redacted,redacted
293,Freshwater Elementary (Humboldt),12-62828-0000000,28.4,37.4,23.2,10.9,65.9,redacted,redacted,,,40.9,,38.9,73.6,59.8,72.7
294,Fresno County Office of Education (Fresno),10-10108-0000000,0,5.4,8.6,86.1,5.4,redacted,redacted,0,redacted,5.4,,redacted,17.7,4.5,9.7
295,Fresno Unified (Fresno),10-62166-0000000,10.4,23.3,24.7,41.7,33.6,29.9,43.2,20.8,66.1,30.8,35.7,40.4,52.5,28.4,39.1
296,Fruitvale Elementary (Kern),15-63479-0000000,23.8,34.3,22.8,19.1,58.1,61.1,70.7,41.1,89.2,53.1,redacted,57.8,61.6,53.8,62.6
297,Fullerton Elementary (Orange),30-66506-0000000,25.5,29.4,21.6,23.5,54.9,43.8,83.3,38.7,80.7,36.6,27.3,68.4,66.8,50.2,59.9
298,Fullerton Joint Union High (Orange),30-66514-0000000,38.6,30.9,18.2,12.3,69.5,redacted,91.6,49.3,88.2,57.6,61.5,86.1,79.8,66.5,72.6
299,Galt Joint Union Elementary (Sacramento),34-67348-0000000,14.4,28.7,27.4,29.5,43.1,redacted,56.4,44.4,45.8,35.9,56.3,52.3,53.8,37.4,48.6
300,Galt Joint Union High (Sacramento),34-67355-0000000,26.6,38.6,20.7,14.1,65.2,,redacted,redacted,redacted,57.3,redacted,86.7,74.1,58.5,72.2
301,Garden Grove Unified (Orange),30-66522-0000000,26.9,30.5,20.5,22.1,57.4,36.8,79.5,48.5,78.8,41.2,44.1,73.9,64.2,52.2,63
302,Garfield Elementary (Humboldt),12-62836-0000000,27.5,32.5,17.5,22.5,60,redacted,,redacted,,redacted,,redacted,65.6,66.7,54.6
303,Garvey Elementary (Los Angeles),19-64550-0000000,28.2,28.7,17.2,25.9,56.9,redacted,70.4,50,68,37.6,,66.7,43.2,52.8,61.2
304,Gateway Unified (Shasta),45-75267-0000000,8,24.4,29,38.6,32.4,19.3,57.9,18.2,redacted,29.7,redacted,38.5,33.1,28.6,36.6
305,Gazelle Union Elementary (Siskiyou),47-70318-0000000,0,5,35,60,5,redacted,,redacted,,redacted,,redacted,redacted,0,redacted
306,General Shafter Elementary (Kern),15-63487-0000000,13.2,31.9,31.9,23.1,45.1,,redacted,,,46.2,,,27.3,31.7,56
307,Gerber Union Elementary (Tehama),52-71548-0000000,3.3,20.4,28.5,47.8,23.7,redacted,redacted,,,20.9,,redacted,35.2,18.8,30.2
308,Geyserville Unified (Sonoma),49-70706-0000000,16,32.1,30.5,21.4,48.1,,redacted,redacted,,40.2,,redacted,64.4,44.3,51.4
309,Gilroy Unified (Santa Clara),43-69484-0000000,19.8,28.1,22.7,29.3,48,54.6,79.2,56,76.8,39.3,redacted,67.5,70.1,43,53.2
310,Glendale Unified (Los Angeles),19-64568-0000000,29.6,31.7,20.4,18.4,61.3,55.6,82.3,52.1,75.2,47.7,58.8,75.8,60.3,55.7,67.2
311,Glendora Unified (Los Angeles),19-64576-0000000,31.4,36.8,19.3,12.6,68.1,redacted,89,59.3,76.6,60.6,redacted,80.8,70.7,63,73.1
312,Glenn County Office of Education (Glenn),11-10116-0000000,8.5,21.3,25.5,44.7,29.8,redacted,,,,30,,redacted,29.2,19.1,38.5
313,Gold Oak Union Elementary (El Dorado),09-61879-0000000,15.1,37.2,25,22.8,52.2,redacted,redacted,redacted,,43.8,redacted,redacted,54.7,43.1,60.9
314,Gold Trail Union Elementary (El Dorado),09-61887-0000000,21.4,27.2,24.8,26.6,48.6,redacted,redacted,redacted,redacted,33.3,redacted,64.7,50.7,40.6,56.9
315,Golden Feather Union Elementary (Butte),04-61457-0000000,1.5,19.7,24.2,54.6,21.2,redacted,,,,redacted,,redacted,17.4,18.4,25
316,Golden Plains Unified (Fresno),10-75234-0000000,5.4,17.2,22.6,54.8,22.6,redacted,redacted,redacted,,22.7,,,8.3,17.1,28.3
317,Golden Valley Unified (Madera),20-75580-0000000,23.6,35.5,23.6,17.2,59.2,66.7,65.2,58.3,redacted,49,redacted,62.5,66.7,55.5,63.4
318,Goleta Union Elementary (Santa Barbara),42-69195-0000000,31.6,27.2,20.7,20.5,58.9,redacted,73.2,50,73.7,40.5,,72.6,80.9,54.9,63.1
319,Gonzales Unified (Monterey),27-75473-0000000,7.8,23.9,30.4,37.9,31.7,redacted,,redacted,redacted,31.2,redacted,redacted,55.6,25,38.3
320,Gorman Joint (Los Angeles),19-64584-0000000,20.6,23.8,25.4,30.2,44.4,,,redacted,,50,redacted,redacted,40,41.9,46.9
321,Grant Elementary (Shasta),45-70003-0000000,31.7,40.4,18,10,72.1,41.7,redacted,redacted,redacted,58.7,,73.9,75.1,62.9,80.9
322,Grass Valley Elementary (Nevada),29-66332-0000000,16,27.6,27.5,28.8,43.7,40,46.2,redacted,redacted,26.2,,60,46.9,39.5,47.9
