,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
220,Dry Creek Joint Elementary (Placer),31-66803-0000000,37.9,57.3,26.1,64.9,31.9,26.9,48.5,49.9,46.3,45.5,45.9,20.1,25.8,29.1,25.1
221,Duarte Unified (Los Angeles),19-64469-0000000,redacted,62.1,23.4,57.9,31.4,redacted,57.9,44.4,35.2,34.9,35,15.3,19.7,28.6,36.4
222,Dublin Unified (Alameda),01-75093-0000000,redacted,88.3,33.3,70.8,45.7,redacted,68.4,63.7,73.2,72.6,72.9,48.5,24.4,16.9,10.2
223,Ducor Union Elementary (Tulare),54-71894-0000000,,,,,17.7,,,redacted,17.7,16.7,17.2,2.5,14.8,32,50.8
224,Dunham Elementary (Sonoma),49-70672-0000000,,,,,63.2,,redacted,69.2,70.2,61.4,65.9,20.9,45.1,25.3,8.8
225,Dunsmuir Elementary (Siskiyou),47-70243-0000000,redacted,,,,47.1,,redacted,25,41.9,16.1,29,12.9,16.1,41.9,29
226,Dunsmuir Joint Union High (Siskiyou),47-70250-0000000,redacted,,redacted,,redacted,,redacted,redacted,redacted,0,0,0,0,18.8,81.3
227,Durham Unified (Butte),04-61432-0000000,redacted,redacted,redacted,redacted,20.2,,58.3,50.4,45.3,43,44.3,17.8,26.5,30.8,24.9
228,Earlimart Elementary (Tulare),54-71902-0000000,,redacted,redacted,40,15.7,,redacted,redacted,14.2,17.6,15.9,5.1,10.8,25,59.1
229,East Nicolaus Joint Union High (Sutter),51-71373-0000000,redacted,redacted,,,20.8,redacted,redacted,27.1,33.3,23.7,28.6,7.8,20.8,27.3,44.2
230,East Side Union High (Santa Clara),43-69427-0000000,7.1,69,18.5,38.5,16,16.7,48,48.6,40.3,42,41.1,20.3,20.9,21.8,37.1
231,East Whittier City Elementary (Los Angeles),19-64485-0000000,redacted,67.1,45.5,66.1,41.9,72.7,70.5,59.7,43.7,46,44.8,19.8,25,29,26.3
232,Eastern Sierra Unified (Mono),26-73668-0000000,6.3,,redacted,redacted,19.3,redacted,redacted,38.5,30.6,25.7,28.2,8.5,19.7,32.4,39.4
233,Eastside Union Elementary (Los Angeles),19-64477-0000000,redacted,46.2,5.9,37,15.3,redacted,15.9,23.8,13.8,14.4,14.1,3.5,10.6,27.4,58.5
234,Edison Elementary (Kern),15-63438-0000000,redacted,redacted,7.1,,28.9,,redacted,17.3,23.1,31.2,27.2,10.2,17,25.4,47.4
235,El Centro Elementary (Imperial),13-63123-0000000,redacted,66.7,14.3,,30.3,redacted,58.3,49.5,32.8,29.1,31,10.9,20.1,32.3,36.7
236,El Dorado County Office of Education (El Dorado),09-10090-0000000,redacted,redacted,0,,18.3,redacted,32,27.2,24.1,26.2,25.1,9.3,15.8,23.6,51.3
237,El Dorado Union High (El Dorado),09-61853-0000000,41.7,74.1,46.7,70,37.9,redacted,68.4,56.8,52.8,57.3,55,23.3,31.6,21.5,23.5
238,El Monte City (Los Angeles),19-64501-0000000,redacted,69.6,27.3,63.2,23.6,redacted,redacted,47,33.2,32.4,32.8,15.1,17.7,27.1,40.1
239,El Monte Union High (Los Angeles),19-64519-0000000,,70.1,redacted,44.4,18.5,,redacted,16.7,31,30.5,30.7,12.3,18.4,26.4,42.9
240,El Nido Elementary (Merced),24-65680-0000000,redacted,,,,20,,,33.3,29.4,14.3,21.5,4.7,16.8,43.9,34.6
241,El Rancho Unified (Los Angeles),19-64527-0000000,redacted,redacted,25,63.2,26.1,redacted,redacted,21.7,25.2,27.5,26.3,9.5,16.8,29.6,44
242,El Segundo Unified (Los Angeles),19-64535-0000000,redacted,78.5,49.3,83.3,46.1,25,69.3,66.9,65.9,61.3,63.6,33.7,30,23.4,12.9
243,El Tejon Unified (Kern),15-75168-0000000,23.1,redacted,redacted,redacted,26.7,redacted,redacted,28.4,27.6,30.8,29.1,11.1,18,27.8,43
244,Elk Grove Unified (Sacramento),34-67314-0000000,34.2,57,20.6,61.7,30.4,33.5,48.7,56.1,44.3,44,44.2,20.9,23.3,26.8,29
245,Elk Hills Elementary (Kern),15-63446-0000000,redacted,,redacted,,17.7,,redacted,18.8,13.6,21.5,17.7,6.5,11.3,31.5,50.8
246,Elkins Elementary (Tehama),52-71514-0000000,,,,,redacted,,redacted,redacted,redacted,redacted,27.3,18.2,9.1,18.2,54.6
247,Elverta Joint Elementary (Sacramento),34-67322-0000000,redacted,redacted,10.5,redacted,8.3,redacted,20,23.7,19.7,17.7,18.9,3.8,15.1,28.7,52.4
248,Emery Unified (Alameda),01-61168-0000000,redacted,34.2,14.5,redacted,25.3,redacted,redacted,35.9,22.2,20.7,21.4,7.4,14,27.1,51.6
249,Empire Union Elementary (Stanislaus),50-71076-0000000,25,39.3,18,60,25.4,16.7,37.5,35,27.8,29.3,28.6,10.3,18.3,29.1,42.4
250,Encinitas Union Elementary (San Diego),37-68080-0000000,57.1,86.8,66.7,84.2,50.3,redacted,81,79,74.4,72,73.2,43.2,30,17.4,9.5
251,Enterprise Elementary (Shasta),45-69971-0000000,16.9,38.5,13.5,redacted,25.3,redacted,35.1,40.4,36.6,35,35.8,14.1,21.8,30.8,33.3
252,Escalon Unified (San Joaquin),39-68502-0000000,redacted,39.1,redacted,redacted,20.3,redacted,33.3,43.3,30,32.1,31,10.4,20.6,32.7,36.3
253,Escondido Union (San Diego),37-68098-0000000,31.8,59.3,20.5,51.6,20.7,45.5,42.7,48.5,26.7,26.5,26.6,9.5,17.1,30.4,43
254,Escondido Union High (San Diego),37-68106-0000000,redacted,68.7,20.5,47.5,16.6,redacted,18.2,48.7,25.1,26.3,25.7,9.8,15.9,24.5,49.9
255,Esparto Unified (Yolo),57-72686-0000000,redacted,redacted,redacted,redacted,12.4,,redacted,25.2,16.5,14.8,15.7,3.3,12.4,25.4,58.8
256,Etiwanda Elementary (San Bernardino),36-67702-0000000,42.1,81,40.7,78.1,49,40,62.2,67.6,58.2,57.7,57.9,31.9,26,26.5,15.6
257,Eureka City Schools (Humboldt),12-75515-0000000,16,22.1,21.3,36.4,16.8,17.1,18.2,30.9,25.2,23.8,24.5,9.1,15.5,30,45.4
258,Eureka Union (Placer),31-66829-0000000,47.1,84,44,65,50.8,redacted,69.3,66.1,65.6,65.6,65.6,35.1,30.5,24.5,9.9
259,Evergreen Elementary (Santa Clara),43-69435-0000000,47.6,80.1,32.5,52.3,21.5,31.6,62.8,61.7,59.7,61.5,60.6,39.1,21.5,19.3,20.1
260,Evergreen Union (Tehama),52-71522-0000000,26.7,redacted,redacted,redacted,35.1,redacted,45.2,40.6,40.2,38.2,39.3,16.5,22.8,31.2,29.5
261,Exeter Unified (Tulare),54-76836-0000000,28.6,redacted,redacted,redacted,23.2,,redacted,34.1,27.7,27.3,27.5,8.6,18.9,30.7,41.8
262,Fairfax Elementary (Kern),15-63461-0000000,redacted,12.5,8.5,redacted,17.2,,18.2,18.9,17.9,16.2,17.1,5,12.1,25.7,57.3
263,Fairfield-Suisun Unified (Solano),48-70540-0000000,30.5,53.8,16.4,50.8,22.2,23.6,40.2,45.1,30.6,31.7,31.2,13.1,18.1,26.8,42.1
264,Fall River Joint Unified (Shasta),45-69989-0000000,23.5,redacted,redacted,redacted,21,redacted,22.6,38.6,30.6,32.8,31.7,12.8,18.9,32.7,35.5
265,Fallbrook Union Elementary (San Diego),37-68114-0000000,redacted,83.3,42.2,59.1,35.1,redacted,52.1,62.9,44.9,44.3,44.6,20,24.6,28.4,27
266,Fallbrook Union High (San Diego),37-68122-0000000,redacted,redacted,redacted,redacted,17.1,redacted,redacted,33.3,20.6,25.5,23,7.3,15.6,23.4,53.7
267,Farmersville Unified (Tulare),54-75325-0000000,redacted,redacted,redacted,redacted,11.7,,redacted,15.9,12.7,11.3,12,2.1,10,24.6,63.4
