,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
197,Cutler-Orosi Joint Unified (Tulare),54-71860-0000000,redacted,redacted,redacted,53.7,27.3,redacted,redacted,35.5,25.6,30.8,28.2,10.9,17.2,23.7,48.2
198,Cutten Elementary (Humboldt),12-62745-0000000,29.4,42.9,redacted,redacted,30.2,redacted,35.3,50,45.2,39.9,42.5,16.2,26.4,34.4,23.1
199,Cuyama Joint Unified (Santa Barbara),42-75010-0000000,,redacted,,,12.6,,redacted,13,13.1,13.3,13.2,1.7,11.6,35.5,51.2
200,Cypress Elementary (Orange),30-66480-0000000,,84,39.4,69.7,45.2,69.2,60.7,55,64,61.9,62.9,35.9,27,23,14.1
201,Davis Joint Unified (Yolo),57-72678-0000000,42.1,83.5,31.9,78.4,34.3,83.3,76,70.8,63.7,65.3,64.5,38.4,26,19.9,15.6
202,Death Valley Unified (Inyo),14-63271-0000000,,,redacted,,redacted,,redacted,redacted,redacted,redacted,25,8.3,16.7,16.7,58.3
203,Dehesa Elementary (San Diego),37-68049-0000000,redacted,,redacted,redacted,13.8,,53.3,35.3,27.3,38,32.4,12.4,20,35.2,32.4
204,Del Norte County Office of Education (Del Norte),08-10082-0000000,7.7,redacted,redacted,,0,,7.1,9.1,11.6,3.3,7.3,1.7,5.7,17.5,75.1
205,Del Norte County Unified (Del Norte),08-61820-0000000,17,27.6,18.2,31.6,16.1,redacted,32.1,28.8,24.1,24.3,24.2,7.2,17,29.7,46.2
206,Delano Joint Union High (Kern),15-63412-0000000,,redacted,redacted,52.3,27.9,redacted,redacted,16.7,31.5,30,30.8,11.9,18.9,26.6,42.6
207,Delano Union Elementary (Kern),15-63404-0000000,redacted,51.7,26.7,47.4,20.6,redacted,42.3,17.8,24.2,23.1,23.7,8.2,15.5,27.7,48.6
208,Delhi Unified (Merced),24-75366-0000000,,41.7,redacted,redacted,23.3,redacted,redacted,21.4,23.5,23.8,23.6,6.2,17.5,33.6,42.7
209,Delphic Elementary (Siskiyou),47-70227-0000000,redacted,,,,redacted,,redacted,25,22.7,16.7,20.6,2.9,17.7,32.4,47.1
210,Denair Unified (Stanislaus),50-71068-0000000,redacted,redacted,redacted,,9.2,redacted,28.6,15.2,11.2,15.5,13.3,2.2,11.1,32.6,54.1
211,Desert Center Unified (Riverside),33-67041-0000000,,,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
212,Desert Sands Unified (Riverside),33-67058-0000000,36.8,73.5,27.5,63.3,27.8,64.3,57.9,54.9,35.4,34.4,34.9,14.9,20,28.8,36.4
213,Di Giorgio Elementary (Kern),15-63420-0000000,,,,,13.4,,,redacted,9.8,17.9,13.4,0.7,12.8,22.2,64.4
214,Dinuba Unified (Tulare),54-75531-0000000,28.6,41.3,16.7,37,24.9,redacted,,32.4,26.1,24.8,25.5,8.8,16.7,27.3,47.2
215,Dixie Elementary (Marin),21-65318-0000000,redacted,83,43.5,84.6,28.7,redacted,68,75.3,68.9,66.6,67.8,40.7,27.1,20.6,11.5
216,Dixon Unified (Solano),48-70532-0000000,redacted,47.4,0,66.7,25,redacted,38.6,39.4,31.2,29.9,30.6,10.7,19.9,31.5,37.9
217,Dos Palos Oro Loma Joint Unified (Merced),24-75317-0000000,12.1,redacted,5.6,redacted,13.3,redacted,redacted,23.3,14.3,14.6,14.5,3.9,10.5,25.5,60
218,Douglas City Elementary (Trinity),53-71696-0000000,,redacted,,,78.6,,52.6,69.1,71,65.7,68.2,46.2,22,20.5,11.4
219,Downey Unified (Los Angeles),19-64451-0000000,21.4,73.3,23.1,65.8,36,38.1,48.4,45,36.4,37.8,37.1,14.5,22.6,30.1,32.8
